Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,432.92,337.68,393.96,36018.94
Bank of America,231.52,180.59,210.68,19262.46
Industrial and Commercial Bank of China,194.56,151.76,177.05,16187.39
Agricultural Bank of China,160.68,125.33,146.22,13368.58
HDFC Bank,157.91,123.17,143.7,13138.11
Wells Fargo,155.87,121.58,141.84,12968.38
HSBC Holdings PLC,148.9,116.14,135.5,12388.48
Morgan Stanley,140.83,109.85,128.16,11717.06
China Construction Bank,139.82,109.06,127.24,11633.02
Bank of China,136.81,106.71,124.5,11382.59
